tipo,nombre,precio,localización,detalles,vendedor,fecha de publicación,link
Alquiler,Casa en alquiler en Samborondon,$ 1.200,Samborondon/Guayas,3 habitaciones/4 baños/220 m²,BIENES RAÍCES FLORES,20/10/2022,https://www.properati.com.ec/detalle/glg0_alquiler_casa_samborondon_amoblados_patio_piscina_cocina_aquiles-alejandro-flores
Alquiler,Casa en alquiler en Daule,$ 525,Daule/Guayas,3 habitaciones/2 baños/159 m²,Planeta Inmobiliario,25/11/2022,https://www.properati.com.ec/detalle/gsvu_alquiler_casa_daule_patio_bodega_piscina_cocina_comedor_planeta-inmobiliario
Alquiler,Casa en alquiler en Manta,$ 500,Manta/Manabi,2 habitaciones/3 baños/180 m²,REMAX DIAMOND MANTA,16/03/2022,https://www.properati.com.ec/detalle/e9hv_alquiler_casa_manta_amoblados_jardin_patio_areas-verdes_piscina_remax-diamond-manta
Alquiler,Casa en alquiler en Manta,$ 350,Manta/Manabi,3 habitaciones/3 baños/9225 m²,REMAX DIAMOND MANTA,16/03/2022,https://www.properati.com.ec/detalle/e9xh_alquiler_casa_manta_patio_cocina_comedor_remax-diamond-manta
Alquiler,Casa en alquiler en Portoviejo,$ 1.500,Portoviejo/Manabi,5 habitaciones/5 baños/2500 m²,REMAX DIAMOND MANTA,16/03/2022,https://www.properati.com.ec/detalle/e9x0_alquiler_casa_portoviejo_jardin_patio_terraza_cocina_comedor_remax-diamond-manta
Alquiler,Casa en alquiler en Manta,$ 750,Manta/Manabi,4 habitaciones/4 baños/270 m²,REMAX DIAMOND MANTA,16/03/2022,https://www.properati.com.ec/detalle/e9pb_alquiler_casa_manta_terraza_aire-acondicionado_areas-verdes_piscina_cocina_remax-diamond-manta
Alquiler,Casa en alquiler en Manta,$ 950,Manta/Manabi,3 habitaciones/3 baños/300 m²,REMAX DIAMOND MANTA,16/03/2022,https://www.properati.com.ec/detalle/e9m6_alquiler_casa_manta_jacuzzi_patio_bodega_terraza_aire-acondicionado_balcon_garaje_cocina_remax-diamond-manta
Alquiler,Casa en alquiler en Manta,$ 700,Manta/Manabi,3 habitaciones/3 baños/200 m²,REMAX DIAMOND MANTA,16/03/2022,https://www.properati.com.ec/detalle/e9i8_alquiler_casa_manta_jardin_areas-verdes_piscina_garaje_cocina_comedor_remax-diamond-manta
Alquiler,Casa en alquiler en Manta,$ 800,Manta/Manabi,3 habitaciones/4 baños/200 m²,REMAX DIAMOND MANTA,16/03/2022,https://www.properati.com.ec/detalle/e9wz_alquiler_casa_manta_amoblados_aire-acondicionado_comedor_remax-diamond-manta
Alquiler,Casa en alquiler en Manta,$ 600,Manta/Manabi,3 habitaciones/4 baños/75 m²,REMAX DIAMOND MANTA,17/03/2022,https://www.properati.com.ec/detalle/eaar_alquiler_casa_manta_amoblados_patio_cocina_comedor_remax-diamond-manta
Alquiler,Casa en alquiler en Manta,$ 400,Manta/Manabi,3 habitaciones/3 baños/42 m²,REMAX DIAMOND MANTA,16/03/2022,https://www.properati.com.ec/detalle/e9bf_alquiler_casa_manta_remax-diamond-manta
Alquiler,Casa en alquiler en Manta,$ 400,Manta/Manabi,3 habitaciones/3 baños/150 m²,REMAX DIAMOND MANTA,17/03/2022,https://www.properati.com.ec/detalle/eaaj_alquiler_casa_manta_amoblados_patio_piscina_garaje_cocina_remax-diamond-manta
Alquiler,Casa en alquiler en Manta,$ 800,Manta/Manabi,4 habitaciones/4 baños/178 m²,REMAX DIAMOND MANTA,16/03/2022,https://www.properati.com.ec/detalle/e9x8_alquiler_casa_manta_jardin_patio_piscina_cocina_comedor_remax-diamond-manta
Alquiler,Casa en alquiler en Manta,$ 500,Manta/Manabi,3 habitaciones/3 baños/180 m²,REMAX DIAMOND MANTA,16/03/2022,https://www.properati.com.ec/detalle/e9qn_alquiler_casa_manta_patio_terraza_walk-in-closet_cocina_comedor_remax-diamond-manta
Alquiler,Casa en alquiler en Nayon - Tanda,$ 2.200,Nayon - Tanda/Valle Tumbaco/Quito/Pichincha,3 habitaciones/3 baños/250 m²,Gino Ayala - Inmoimpakto,14/12/2022,https://www.properati.com.ec/detalle/gvpz_alquiler_casa_cumbaya_jardin_terraza_balcon_garaje_walk-in-closet_cocina_comedor_gino-ayala-inmoimpakto
Alquiler,Casa en alquiler en La Puntilla,$ 3.800,La Puntilla/Samborondon/Guayas,4 habitaciones/4 baños/270 m²,Pedro Silva Bienes Raices,19/09/2022,https://www.properati.com.ec/detalle/g85c_alquiler_casa_la-puntilla_amoblados_gimnasio_bodega_areas-verdes_piscina_cocina_comedor_pedro-silva_opn1
Alquiler,Casa en alquiler en Manta,$ 340,Manta/Manabi,3 habitaciones/3 baños/110 m²,REMAX DIAMOND MANTA,16/03/2022,https://www.properati.com.ec/detalle/e9a8_alquiler_casa_manta_amoblados_jardin_patio_garaje_cocina_comedor_remax-diamond-manta
Alquiler,Casa en alquiler en Manta,$ 600,Manta/Manabi,3 habitaciones/2 baños/180 m²,REMAX DIAMOND MANTA,16/03/2022,https://www.properati.com.ec/detalle/e9pt_alquiler_casa_manta_patio_terraza_piscina_walk-in-closet_cocina_comedor_remax-diamond-manta
Alquiler,Casa en alquiler en Carcelen,$ 420,Carcelen/Norte De Quito/Quito/Pichincha,3 habitaciones/2 baños/120 m²,Catalina Martínez - Inmoimpakto,05/05/2022,https://www.properati.com.ec/detalle/esa3_alquiler_casa_carcelen_patio_balcon_cocina_comedor_catalina-martinez-inmoimpakto
Alquiler,Casa en alquiler en Manta,$ 400,Manta/Manabi,3 habitaciones/3 baños/192 m²,REMAX DIAMOND MANTA,16/03/2022,https://www.properati.com.ec/detalle/e9aa_alquiler_casa_manta_amoblados_jardin_patio_terraza_areas-verdes_garaje_cocina_comedor_remax-diamond-manta
Alquiler,Casa en alquiler en Manta,$ 550,Manta/Manabi,3 habitaciones/4 baños/75 m²,REMAX DIAMOND MANTA,16/03/2022,https://www.properati.com.ec/detalle/e95f_alquiler_casa_manta_amoblados_jardin_patio_aire-acondicionado_garaje_cocina_comedor_remax-diamond-manta
Alquiler,Casa en alquiler en Manta,$ 650,Manta/Manabi,3 habitaciones/5 baños/200 m²,REMAX DIAMOND MANTA,16/03/2022,https://www.properati.com.ec/detalle/e8vs_alquiler_casa_manta_amoblados_aire-acondicionado_piscina_garaje_cocina_comedor_remax-diamond-manta
Alquiler,Casa en alquiler en Puembo,$ 2.500,Puembo/Valle Tumbaco/Quito/Pichincha,3 habitaciones/6 baños/2800 m²,Jenny Peralvo - Inmoimpakto,08/09/2022,https://www.properati.com.ec/detalle/g3c4_alquiler_casa_puembo_amoblados_jardin_cocina_comedor_jenny-peralvo-inmoimpakto
Alquiler,Casa en alquiler en Manta,$ 700,Manta/Manabi,4 habitaciones/4 baños/140 m²,REMAX DIAMOND MANTA,16/03/2022,https://www.properati.com.ec/detalle/e8vf_alquiler_casa_manta_amoblados_jardin_patio_aire-acondicionado_garaje_cocina_comedor_remax-diamond-manta
Alquiler,Casa en alquiler en Manta,$ 900,Manta/Manabi,2 habitaciones/2 baños/255 m²,REMAX DIAMOND MANTA,17/03/2022,https://www.properati.com.ec/detalle/eapo_alquiler_casa_manta_patio_cocina_comedor_remax-diamond-manta
Alquiler,Casa en alquiler en Manta,$ 750,Manta/Manabi,3 habitaciones/3 baños/120 m²,REMAX DIAMOND MANTA,17/03/2022,https://www.properati.com.ec/detalle/eaak_alquiler_casa_manta_gimnasio_jardin_patio_piscina_comedor_remax-diamond-manta
Alquiler,Casa en alquiler en Portoviejo,$ 400,Portoviejo/Manabi,4 habitaciones/4 baños/220 m²,REMAX DIAMOND MANTA,16/03/2022,https://www.properati.com.ec/detalle/e9nj_alquiler_casa_portoviejo_patio_bodega_terraza_balcon_garaje_cocina_comedor_remax-diamond-manta
Alquiler,Casa en alquiler en Manta,$ 600,Manta/Manabi,2 habitaciones/2 baños/209 m²,REMAX DIAMOND MANTA,16/03/2022,https://www.properati.com.ec/detalle/e9mp_alquiler_casa_manta_jardin_piscina_ventanales_cocina_comedor_remax-diamond-manta
Alquiler,Casa en alquiler en El Batan,$ 1.500,El Batan/Iñaquito/Centro Norte/Quito/Pichincha,4 habitaciones/4 baños/385 m²,Geovanny Guerrero - Inmoimpakto,06/06/2022,https://www.properati.com.ec/detalle/ezf4_alquiler_casa_el-batan_metro-de-quito_bodega_cocina_geovanny-guerrero-inmoimpakto_opt6
Alquiler,Casa en alquiler en Calderón,$ 350,Calderón/Norte De Quito/Quito/Pichincha,3 habitaciones/2 baños/85 m²,iNMOREALTY,26/08/2022,https://www.properati.com.ec/detalle/fzje_alquiler_casa_calderon_patio_piscina_cocina_comedor_vanesa-larco_opef
Alquiler,Casa en alquiler en Manta,$ 450,Manta/Manabi,3 habitaciones/3 baños/80 m²,REMAX DIAMOND MANTA,17/03/2022,https://www.properati.com.ec/detalle/ea9h_alquiler_casa_manta_amoblados_jardin_patio_piscina_cocina_comedor_remax-diamond-manta
Alquiler,Casa en alquiler en Conocoto,$ 440,Conocoto/Valle Los Chillos/Quito/Pichincha,4 habitaciones/5 baños/210 m²,ANKHA REAL ESTATE,07/12/2022,https://www.properati.com.ec/detalle/guu2_alquiler_casa_conocoto_patio_bodega_terraza_area-bbq_cocina_comedor_ankha-real-estate_opjz
Alquiler,Casa en alquiler en Cumbaya,$ 2.000,Cumbaya/Valle Tumbaco/Quito/Pichincha,4 habitaciones/4 baños/300 m²,ANKHA REAL ESTATE,13/12/2022,https://www.properati.com.ec/detalle/gv0u_alquiler_casa_cumbaya_bodega_area-bbq_piscina_walk-in-closet_cocina_comedor_ankha-real-estate_opjz
Alquiler,Casa en alquiler en Puembo,$ 3.000,Puembo/Valle Tumbaco/Quito/Pichincha,4 habitaciones/2 baños/300 m²,ANKHA REAL ESTATE,21/11/2022,https://www.properati.com.ec/detalle/grsq_alquiler_casa_puembo_patio_cocina_comedor_ankha-real-estate_opjz
Alquiler,Casa en alquiler en Norte De Guayaquil,$ 270,Norte De Guayaquil/Guayaquil/Guayas,"",Bienes Raíces Alida Franco,22/01/2023,https://www.properati.com.ec/detalle/h1n9_alquiler_casa_norte-de-guayaquil_patio_cocina_comedor_bienes-raices-alida-franco
Alquiler,Casa en alquiler en San Rafael,$ 1.500,San Rafael/Valle Los Chillos/Quito/Pichincha,5 habitaciones/10 baños/650 m²,DSL bienes raices,29/09/2022,https://www.properati.com.ec/detalle/gfdh_alquiler_casa_san-rafael_bodega_dsl-bienes-raices_opn0
Alquiler,Casa en alquiler en La Floresta,$ 2.200,La Floresta/Mariscal Sucre/Centro Norte/Quito/Pichincha,5 habitaciones/3 baños/200 m²,DSL bienes raices,14/09/2022,https://www.properati.com.ec/detalle/g67r_alquiler_casa_guayllabamba_jardin_bodega_terraza_dsl-bienes-raices_opn0
Alquiler,Casa en alquiler en Pomasqui,$ 480,Pomasqui/Norte De Quito/Quito/Pichincha,3 habitaciones/3 baños/137 m²,Zaskia Jara,28/09/2022,https://www.properati.com.ec/detalle/gf1d_alquiler_casa_pomasqui_gimnasio_patio_terraza_area-bbq_piscina_cocina_comedor_zaskia-jara
Alquiler,Casa en alquiler en Via A La Costa,$ 1.800,Via A La Costa/Guayaquil/Guayas,4 habitaciones/4 baños/332 m²,P. Betty Intermediaria independiente.,20/09/2022,https://www.properati.com.ec/detalle/g8uw_alquiler_casa_via-a-la-costa_jardin_patio_garaje_paola-betty
Alquiler,Casa en alquiler en Manta,$ 350,Manta/Manabi,3 habitaciones/2 baños/100 m²,Ing  Marisela Mero - Manta Bienes Raíces,20/09/2022,https://www.properati.com.ec/detalle/g8vw_alquiler_casa_manta_patio_aire-acondicionado_garaje_ing-marisela-mero-manta-bienes-raices
Alquiler,Casa en alquiler en Conocoto,$ 600,Conocoto/Valle Los Chillos/Quito/Pichincha,"",PC INMOBILIARIA,11/01/2023,https://www.properati.com.ec/detalle/gz3v_alquiler_casa_conocoto_jardin_bodega_balcon_walk-in-closet_cocina_pc-inmobiliaria
Alquiler,Casa en alquiler en Tarqui,$ 999,Tarqui/Cuenca/Azuay,4 habitaciones/3 baños/300 m²,Mi Casa Ahora,07/11/2022,https://www.properati.com.ec/detalle/gpjs_alquiler_casa_tarqui_amoblados_cocina_comedor_mi-casa-ahora
Alquiler,Casa en alquiler en Cumbaya,$ 2.830,Cumbaya/Valle Tumbaco/Quito/Pichincha,4 habitaciones/4 baños/390 m²,GM BIENES RAÍCES,28/11/2022,https://www.properati.com.ec/detalle/gt9w_alquiler_casa_cumbaya_jardin_gm-bienes-raices
Alquiler,Casa en alquiler en Santa Elena,$ 1.700,Santa Elena/Santa Elena,3 habitaciones/3 baños/140 m²,Klaere Bienes Raíces,22/11/2022,https://www.properati.com.ec/detalle/gs50_alquiler_casa_santa-elena_parrilla_bodega_balcon_cocina_comedor_klaere-bienes-raices
Alquiler,Casa en alquiler en Santa Elena,$ 1.200,Santa Elena/Santa Elena,3 habitaciones/2 baños/140 m²,Klaere Bienes Raíces,01/11/2022,https://www.properati.com.ec/detalle/gots_alquiler_casa_santa-elena_amoblados_klaere-bienes-raices
Alquiler,Casa en alquiler en Norte De Guayaquil,$ 1.200,Norte De Guayaquil/Guayaquil/Guayas,6 habitaciones/5 baños/200 m²,Remax Horizon,27/09/2022,https://www.properati.com.ec/detalle/geyo_alquiler_casa_norte-de-guayaquil_patio_bodega_terraza_garaje_cocina_comedor_pilar-salazar
Alquiler,Casa en alquiler en Salinas,$ 500,Salinas/Santa Elena,3 habitaciones/3 baños/120 m²,Ricardo Plaza Bienes Raíces,04/01/2023,https://www.properati.com.ec/detalle/gxpz_alquiler_casa_salinas_aire-acondicionado_ricardo-plaza-bienes-raices
Alquiler,Casa en alquiler en Manta,$ 450,Manta/Manabi,3 habitaciones/3 baños/150 m²,REMAX DIAMOND MANTA,16/03/2022,https://www.properati.com.ec/detalle/e8vc_alquiler_casa_manta_jardin_patio_piscina_garaje_cocina_comedor_remax-diamond-manta
Alquiler,Casa en alquiler en Norte De Guayaquil,$ 300,Norte De Guayaquil/Guayaquil/Guayas,2 habitaciones/1 baño/80 m²,PROPIEDADES VENDO EN GUAYAQUIL,19/10/2022,https://www.properati.com.ec/detalle/gkka_alquiler_casa_norte-de-guayaquil_patio_garaje_cocina_comedor_propiedades-vendo-en-guayaquil
Alquiler,Casa en alquiler en Manta,$ 800,Manta/Manabi,3 habitaciones/3 baños/180 m²,REMAX DIAMOND MANTA,16/03/2022,https://www.properati.com.ec/detalle/e9oi_alquiler_casa_manta_jardin_patio_piscina_cocina_comedor_remax-diamond-manta
Alquiler,Casa en alquiler en Manta,$ 560,Manta/Manabi,3 habitaciones/2 baños/130 m²,REMAX DIAMOND MANTA,27/09/2022,https://www.properati.com.ec/detalle/get4_alquiler_casa_manta_patio_cocina_comedor_remax-diamond-manta
Alquiler,Casa en alquiler en Manta,$ 450,Manta/Manabi,3 habitaciones/3 baños/150 m²,REMAX DIAMOND MANTA,16/03/2022,https://www.properati.com.ec/detalle/e8vc_alquiler_casa_manta_jardin_patio_piscina_garaje_cocina_comedor_remax-diamond-manta
Alquiler,Casa en alquiler en Via A La Costa,$ 350,Via A La Costa/Guayaquil/Guayas,3 habitaciones/2 baños/95 m²,Realtors Five Stars,01/12/2022,https://www.properati.com.ec/detalle/gu6u_alquiler_casa_norte-de-guayaquil_patio_bodega_piscina_cocina_comedor_realtors-five-stars
Alquiler,Casa en alquiler en Rumiñahui,$ 500,Rumiñahui/Pichincha,4 habitaciones/3 baños/160 m²,ANKHA REAL ESTATE,06/12/2022,https://www.properati.com.ec/detalle/gupx_alquiler_casa_ruminahui_patio_terraza_cocina_comedor_ankha-real-estate_opjz
Alquiler,Casa en alquiler en Manta,$ 330,Manta/Manabi,2 habitaciones/2 baños/150 m²,REMAX DIAMOND MANTA,16/03/2022,https://www.properati.com.ec/detalle/e9ln_alquiler_casa_manta_patio_garaje_cocina_comedor_remax-diamond-manta
Alquiler,Casa en alquiler en Guayaquil,$ 580,Guayaquil/Guayas,2 habitaciones/2 baños/400 m²,INNOVA BIENES Soluciones Inmobiliarias,22/02/2022,https://www.properati.com.ec/detalle/dq61_alquiler_casa_centro-de-guayaquil_balcon_lorena-cordova
Alquiler,Casa en alquiler en Manta,$ 370,Manta/Manabi,3 habitaciones/3 baños/162 m²,REMAX DIAMOND MANTA,16/03/2022,https://www.properati.com.ec/detalle/e9pn_alquiler_casa_manta_patio_areas-verdes_piscina_garaje_cocina_comedor_remax-diamond-manta
Alquiler,Casa en alquiler en Manta,$ 900,Manta/Manabi,4 habitaciones/4 baños/391 m²,REMAX DIAMOND MANTA,16/03/2022,https://www.properati.com.ec/detalle/e9kp_alquiler_casa_manta_amoblados_patio_piscina_cocina_comedor_remax-diamond-manta
Alquiler,Casa en alquiler en Puembo,$ 4.500,Puembo/Valle Tumbaco/Quito/Pichincha,4 habitaciones/6 baños/500 m²,Realtor LyS,19/07/2022,https://www.properati.com.ec/detalle/fbws_alquiler_casa_puembo_realtor-lys
Alquiler,Casa en alquiler en Alangasí,$ 400,Alangasí/Valle Los Chillos/Quito/Pichincha,3 habitaciones/1 baño/60 m²,ANKHA REAL ESTATE,06/12/2022,https://www.properati.com.ec/detalle/gupc_alquiler_casa_alangasi_balcon_cocina_comedor_ankha-real-estate_opjz
Alquiler,Casa en alquiler en Samborondon,$ 1.200,Samborondon/Guayas,3 habitaciones/4 baños,Inmobiliaria Cuadros,14/12/2022,https://www.properati.com.ec/detalle/gvm7_alquiler_casa_samborondon_patio_comedor_inmobiliaria-cuadros
Alquiler,Casa en alquiler en Urdesa central,$ 950,Urdesa central/Norte De Guayaquil/Guayaquil/Guayas,3 habitaciones/2 baños/250 m²,Inmobiliaria Cuadros,26/09/2022,https://www.properati.com.ec/detalle/ge2a_alquiler_casa_urdesa-central_cocina_comedor_inmobiliaria-cuadros
Alquiler,Casa en alquiler en Norte De Guayaquil,$ 750,Norte De Guayaquil/Guayaquil/Guayas,3 habitaciones/3 baños/140 m²,Inmobiliaria Cuadros,26/09/2022,https://www.properati.com.ec/detalle/gdc9_alquiler_casa_norte-de-guayaquil_amoblados_patio_comedor_inmobiliaria-cuadros
Alquiler,Casa en alquiler en Salitre,$ 450,Salitre/Guayas,4 habitaciones/3 baños/120 m²,Inmobiliaria Cuadros,26/09/2022,https://www.properati.com.ec/detalle/gds3_alquiler_casa_salitre_patio_cocina_comedor_inmobiliaria-cuadros
Alquiler,Casa en alquiler en Norte De Guayaquil,$ 750,Norte De Guayaquil/Guayaquil/Guayas,3 habitaciones/3 baños/140 m²,Inmobiliaria Cuadros,26/09/2022,https://www.properati.com.ec/detalle/ge2j_alquiler_casa_norte-de-guayaquil_amoblados_patio_comedor_inmobiliaria-cuadros
Alquiler,Casa en alquiler en Guayaquil,$ 450,Guayaquil/Guayas,2 habitaciones/1 baño/68 m²,Inmobiliaria Cuadros,26/09/2022,https://www.properati.com.ec/detalle/gdqk_alquiler_casa_guayaquil_amoblados_patio_cocina_comedor_inmobiliaria-cuadros
Alquiler,Casa en alquiler en Norte De Guayaquil,$ 600,Norte De Guayaquil/Guayaquil/Guayas,4 habitaciones/3 baños/150 m²,Inmobiliaria Cuadros,26/09/2022,https://www.properati.com.ec/detalle/gdef_alquiler_casa_norte-de-guayaquil_patio_piscina_cocina_comedor_inmobiliaria-cuadros
Alquiler,Casa en alquiler en Norte De Guayaquil,$ 800,Norte De Guayaquil/Guayaquil/Guayas,4 habitaciones/4 baños/165 m²,Inmobiliaria Cuadros,26/09/2022,https://www.properati.com.ec/detalle/gdey_alquiler_casa_norte-de-guayaquil_amoblados_patio_piscina_garaje_cocina_comedor_inmobiliaria-cuadros
Alquiler,Casa en alquiler en Guayaquil,$ 600,Guayaquil/Guayas,4 habitaciones/3 baños/120 m²,Inmobiliaria Cuadros,26/09/2022,https://www.properati.com.ec/detalle/gd7t_alquiler_casa_guayaquil_amoblados_cocina_comedor_inmobiliaria-cuadros
Alquiler,Casa en alquiler en Norte De Guayaquil,$ 800,Norte De Guayaquil/Guayaquil/Guayas,4 habitaciones/4 baños/180 m²,Inmobiliaria Cuadros,26/09/2022,https://www.properati.com.ec/detalle/gdbg_alquiler_casa_norte-de-guayaquil_garaje_cocina_comedor_inmobiliaria-cuadros
Alquiler,Casa en alquiler en Guayaquil,$ 500,Guayaquil/Guayas,3 habitaciones/3 baños/98 m²,Inmobiliaria Cuadros,26/09/2022,https://www.properati.com.ec/detalle/gd8e_alquiler_casa_guayaquil_cocina_comedor_inmobiliaria-cuadros
Alquiler,Casa en alquiler en Salitre,$ 400,Salitre/Guayas,3 habitaciones/2 baños,REFERIDOS EFECTIVOS,31/12/2022,https://www.properati.com.ec/detalle/gxfn_alquiler_casa_salitre_patio_bodega_piscina_cocina_comedor_referidos-efectivos_opd3
Alquiler,Casa en alquiler en La Armenia I,$ 480,La Armenia I/Conocoto/Valle Los Chillos/Quito/Pichincha,3 habitaciones/3 baños/141 m²,Innova Real State,06/01/2023,https://www.properati.com.ec/detalle/gybt_alquiler_casa_la-armenia-i_patio_bodega_cocina_comedor_innova-real-state_opk4
Alquiler,Casa en alquiler en Jaramijo,$ 440,Jaramijo/Manabi,4 habitaciones/100 m²,Ing  Marisela Mero - Manta Bienes Raíces,26/10/2022,https://www.properati.com.ec/detalle/gmxd_alquiler_casa_jaramijo_aire-acondicionado_ing-marisela-mero-manta-bienes-raices
Alquiler,Casa en alquiler en Kennedy,$ 1.400,Kennedy/Centro Norte/Quito/Pichincha,3 habitaciones/5 baños/175 m²,DSL bienes raices,07/10/2022,https://www.properati.com.ec/detalle/gh8s_alquiler_casa_kennedy_amoblados_patio_dsl-bienes-raices_opn0
Alquiler,Casa en alquiler en Balao,$ 600,Balao/Guayas,3 habitaciones/4 baños/120 m²,Bienes Raices ProMon,18/07/2022,https://www.properati.com.ec/detalle/fbhe_alquiler_casa_balao_amoblados_terraza_piscina_garaje_cocina_comedor_bienes-raices-promon
Alquiler,Casa en alquiler en Guayaquil,$ 370,Guayaquil/Guayas,3 habitaciones/1 baño/120 m²,Bienes Raices ProMon,17/10/2022,https://www.properati.com.ec/detalle/gjxo_alquiler_casa_guayaquil_patio_garaje_cocina_comedor_bienes-raices-promon
Alquiler,Casa en alquiler en Playas,$ 1.000,Playas/Playas (General Villamil)/Guayas,4 habitaciones/3 baños/200 m²,Elizabeth Verdesoto,23/08/2022,https://www.properati.com.ec/detalle/fyav_alquiler_casa_playas_cocina_comedor_elizabeth-verdesoto_oph3
Alquiler,Casa en alquiler en Manta,$ 600,Manta/Manabi,3 habitaciones/3 baños/130 m²,HM Realtors,24/03/2022,https://www.properati.com.ec/detalle/ecub_alquiler_casa_manta_amoblados_jardin_aire-acondicionado_balcon_cocina_comedor_hm-realtors_opfp
Alquiler,Casa en alquiler en Machala,$ 1.200,Machala/El Oro,3 habitaciones/3 baños/280 m²,Alliance Star Inmobiliaria,13/12/2022,https://www.properati.com.ec/detalle/gvav_alquiler_casa_machala_amoblados_cocina_alliance-star-inmobiliaria
Alquiler,Casa en alquiler en Calderón,$ 1.100,Calderón/Norte De Quito/Quito/Pichincha,5 habitaciones/4 baños/220 m²,Ing  Sandra Fuentes,07/11/2022,https://www.properati.com.ec/detalle/gpej_alquiler_casa_calderon_ing-sandra-fuentes_op8n
Alquiler,Casa en alquiler en San Isidro del Inca,$ 550,San Isidro del Inca/Centro Norte/Quito/Pichincha,3 habitaciones/2 baños/1600 m²,CUBIBOXX Soluciones Inmobiliaria,12/01/2023,https://www.properati.com.ec/detalle/gzjk_alquiler_casa_san-isidro-del-inca_cocina_nestor-rolando-bautista_opba
Alquiler,Casa en alquiler en Calderón,$ 1.100,Calderón/Norte De Quito/Quito/Pichincha,5 habitaciones/4 baños/220 m²,Ing  Sandra Fuentes,07/11/2022,https://www.properati.com.ec/detalle/gpej_alquiler_casa_calderon_ing-sandra-fuentes_op8n
Alquiler,Casa en alquiler en La Puntilla,$ 4.200,La Puntilla/Samborondon/Guayas,5 habitaciones/6 baños/550 m²,Grupo Inmobiliario Repoint,18/06/2022,https://www.properati.com.ec/detalle/f492_alquiler_casa_la-puntilla_jacuzzi_patio_bodega_piscina_walk-in-closet_ventanales_cocina_comedor_grupo-inmobiliario-repoint
Alquiler,Casa en alquiler en Santo Domingo,$ 300,Santo Domingo/Santo Domingo De Los Tsáchilas,"",Geovany Vela,28/12/2022,https://www.properati.com.ec/detalle/gxar_alquiler_casa_santo-domingo_garaje_cocina_comedor_geovany-vela
Alquiler,Casa en alquiler en Iñaquito,$ 1.400,Iñaquito/Centro Norte/Quito/Pichincha,"",Bolsa Inmobiliaria Nacional,18/01/2023,https://www.properati.com.ec/detalle/h0q6_alquiler_casa_inaquito_ciclovias-de-quito_bodega_bolsa-inmobiliaria-nacional
Alquiler,Casa en alquiler en Guayas,$ 400,Guayas,3 habitaciones/3 baños/76 m²,INVERTAS Soluciones Inmobiliarias S  A,31/08/2022,https://www.properati.com.ec/detalle/g0ak_alquiler_casa_guayas_jardin_patio_piscina_garaje_cocina_comedor_invertas-soluciones-inmobiliarias-s-a
Alquiler,Casa en alquiler en Norte De Guayaquil,$ 650,Norte De Guayaquil/Guayaquil/Guayas,4 habitaciones/4 baños/102 m²,INVERTAS Soluciones Inmobiliarias S  A,13/12/2022,https://www.properati.com.ec/detalle/gvf0_alquiler_casa_norte-de-guayaquil_amoblados_jardin_patio_aire-acondicionado_piscina_garaje_cocina_comedor_invertas-soluciones-inmobiliarias-s-a
Alquiler,Casa en alquiler en Norte De Guayaquil,$ 1.100,Norte De Guayaquil/Guayaquil/Guayas,4 habitaciones/4 baños/240 m²,INVERTAS Soluciones Inmobiliarias S  A,30/12/2022,https://www.properati.com.ec/detalle/gxe1_alquiler_casa_norte-de-guayaquil_patio_aire-acondicionado_piscina_garaje_cocina_comedor_invertas-soluciones-inmobiliarias-s-a
Alquiler,Casa en alquiler en Norte De Guayaquil,$ 400,Norte De Guayaquil/Guayaquil/Guayas,3 habitaciones/4 baños/120 m²,INVERTAS Soluciones Inmobiliarias S  A,14/01/2023,https://www.properati.com.ec/detalle/gztf_alquiler_casa_norte-de-guayaquil_cocina_comedor_invertas-soluciones-inmobiliarias-s-a
Alquiler,Casa en alquiler en Guayas,$ 750,Guayas,3 habitaciones/3 baños/113 m²,INVERTAS Soluciones Inmobiliarias S  A,02/09/2022,https://www.properati.com.ec/detalle/g1o7_alquiler_casa_guayas_amoblados_jardin_patio_cocina_comedor_invertas-soluciones-inmobiliarias-s-a
Alquiler,Casa en alquiler en Playas,$ 300,Playas/Playas (General Villamil)/Guayas,3 habitaciones/2 baños/150 m²,Casa Playas S A,19/07/2022,https://www.properati.com.ec/detalle/fbjk_alquiler_casa_playas_amoblados_patio_aire-acondicionado_piscina_garaje_cocina_comedor_casa-playas-s-a
Alquiler,Casa en alquiler en Via A La Costa,$ 700,Via A La Costa/Guayaquil/Guayas,3 habitaciones/2 baños/100 m²,INVERTAS Soluciones Inmobiliarias S  A,29/10/2022,https://www.properati.com.ec/detalle/goik_alquiler_casa_via-a-la-costa_patio_areas-verdes_piscina_cocina_comedor_invertas-soluciones-inmobiliarias-s-a
Alquiler,Casa en alquiler en Iñaquito,$ 2.000,Iñaquito/Centro Norte/Quito/Pichincha,7 habitaciones/6 baños/650 m²,Servicios Reymawe,13/10/2022,https://www.properati.com.ec/detalle/ginw_alquiler_casa_inaquito_ciclovias-de-quito_metro-de-quito_patio_bodega_terraza_cocina_comedor_servicios-reymawe
Alquiler,Casa en alquiler en Playas,$ 400,Playas/Playas (General Villamil)/Guayas,3 habitaciones/4 baños/400 m²,BIENES RAÍCES FLORES,21/10/2022,https://www.properati.com.ec/detalle/gm73_alquiler_casa_playas_amoblados_aire-acondicionado_piscina_garaje_cocina_aquiles-alejandro-flores
